odd_bert,Instead of going to the gym i just sit around nd drink protein shakes
_chiquirojas,@zoya3711 protein shakes work but you have to work out after. Like 4 times a week I drink it & do a Victoria secret workout after
hannalee417,Trying to cut out diet soda is the hardest thing 😭 #thestruggleisreal #itsmycoffee
KamiAnokiBey,bout to hit this gym flow up.. still tryna break this lazy cycle in been in.. finish this drink and get this blood flow going.. 13Love
indexEFN,Soda is down to one a day. About to fully cut it. 7 hells this will suck
emilystuddart,gym then drinks tomorrow💪🍹
amarin_93,i've started back drinking only diet soda and now am trying to cut it down to only one or two a day. i hope this works.
lydaaachhann,Time to cut down on soda and junk food 😫
bazlyons,Calm down 'Fitbit' joggers. I can drink one 5-Hour Energy and reach my target heart rate without even getting off my couch
BenevolentDjinn,I'm so ashamed for having this soda
AutieeReynoso,Cutting chips and soda out of my diet !
Parham83,Forgot to drink my post workout protein shake last night   Sore   😩😫😩😤
Tera_Monique,@ViciousFord Yep I cut that out and soda was a big thing for me. I switched to water only and no alcohol.
tommymallet,Shot of coffee Berry smoothie with avocado  & quick train in the garden whilst waiting for my pre workout meal #OKAY http://t.co/vIbOy6KDI2
ShesSuchADahl,Calm down 'Fitbit' joggers. I can drink one 5-Hour Energy and reach my target heart rate without even getting off my couch
scottoakes13,With about 45p to my name I'm currently drinking an unhealthy amount of coffee as a pre workout substitute ☕️🏃 #StudentLifePrep
3govee,Spent my day off at the gym with jam and out for supper and drinks with my gals #perfect
nakeytime,"Agggh I just wanna go home and curl up with my drawings, coffee and fall asleep on the couch without my pants on"
Kiarraxmeow,I need to cut back on soda 😣
Marthachea,Time to cut down on soda and junk food 😫
partypantscuddy,@julie1788 i drink like 4 water bottles a day and have significantly cut back on my soda intake tbh
nickknorth4,“@jross_dixon: Id rather workout and drink protein than party and drink alcohol” real talks 💯
appleeeSun,I get to lazy to fill up my water bottles for the gym 😒
_JessiiiJay,I said I was gonna go to the gym tonight but I went and had drinks instead. I suck
xo_alliexo,@marta_was that's what I'm trying to do basically cut out soda bc that's all I drink like I wanna drink water and green tea that's it
laurenyoung1991,gym tommorrow with the fiancée to tone up and lose weight and go for a few drinks with my favs @1989Hannah  #weekends
Itsjiolicious,Drink a glass of milk and ate 4 pieces of cookies before going to bed :D (it's okay cheat on a diet for once in a while)
anthonyspiteri,Early morning gym spin session. Funny what you can do in the morning with only a couple of drinks the night before.
Abdelrahman894,@theathletesdoc I wake up drink coffee > gym post workout large meal then protein and carbs then just protein and veg and large meal be4 bed
SloristheLoris,I don't wanna drink soda but I have to bc my nap didn't cut it today.
marcrjay,I've completely cut soda out of my life. Been drinking nothing but water the past couple of months.
aybastos,@jjskittlez How about you go to the gym & next time we'll drink some Moscato or a Refresh wine + movie? #motivation
natbrodix,I forgot my headphones AND my coffee... I really need to get my life together
bcase82,Calm down 'Fitbit' joggers. I can drink one 5-Hour Energy and reach my target heart rate without even getting off my couch
_youngneezy,I gotta cut soda out of my life bruh
2nicoole4u,I gotta cut soda out of my life bruh
J_swift39,I gotta cut soda out of my life bruh
SantaHasXpired,"So, I'm trying a new diet Liquid only and mostly alcohol based V8 vegetable fruit, Oj Now need a protein base drink that is good mixer"
Toys4OldBoys,Calm down 'Fitbit' joggers. I can drink one 5-Hour Energy and reach my target heart rate without even getting off my couch
Tookie_R,I should be in Alberton at 11 but I'm still in gym clothes drinking coffee. My life <
may_xoxo,I want to work out since it's early & all I've had is water... but lazy
healthy24wealth,That workout was brutal. Noe time for my tea with belly buster and my protein shake#… http://t.co/9cdfS8sEys
Monsieur_Taz,Not my best idea having a few drinks and then going to the gym >.> still not allowed to do weights but felt nice to be on a treadmill again
Billa007,"Winny+T3+Clen+Masteron Cycle,NEED PCT ADVICE"
princessghostkitten,hash browns and pizza rolls for my first meal all day I&#8217;m making it healthy by drinking water :~)))
p_renaee11,I gotta cut soda out of my life bruh
xoxo_cyyyyy,I gotta cut soda out of my life bruh
_pri07,"@reyes_benito yeah i follow all these pages on ig for workouts💪 yes! I've been trying cutting fast food off, What I did cut off was soda ❌"
Nattttssss,Just casually sipping my coffee on the couch while I should be packing
zzelda01,Calm down 'Fitbit' joggers. I can drink one 5-Hour Energy and reach my target heart rate without even getting off my couch
Rudieeeeeee,Good workout - My roommate is really going to be the death of me. Idk which is worse the way she drinks or the way she works out 😩
MarieBurton90,I said I was gonna go to the gym tonight but I went and had drinks instead. I suck
nyki_m,Calm down 'Fitbit' joggers. I can drink one 5-Hour Energy and reach my target heart rate without even getting off my couch
HttpA666L,Today I got a gym membership & a strict ass 21 day diet plan that requires me to not drink alcohol or coffee if I don't get skinny I swear..
ZarethPanther,"@LBBurr Thanks! Hoping to drop down to 240, 200 is the long term goal. Cut soda out completely and haven't had fast food in about 9 days."
KimTheKaotic,@Toni4Kaos @Princess_Karah @Lauren_Kitt my weight stays the same. I walk a lot....if I cut soda from my life is be slimmer...
Izzzyy94,I've cut soda and fast food out of my diet for over two months. Now it's time to cut out energy drinks and juice. Wish me luck. 😭
laurenyoung1991,Gym tommorrow then a few drinks with my favs @1989Hannah xxx
lisaadwyer,"@Vickeyhulse hahaha, I love full fat coke me #heaven 😏xx"
GettaGang_Mac,Cut down on the soda n juice n started drinkin more water
loveelvo,"Drinks with my love🍸 , then workout time 💪"
geminieast7745,bout to hit this gym flow up.. still tryna break this lazy cycle in been in.. finish this drink and get this blood flow going.. 13Love
narminjarrous,Cat and I are supposed to be at work at 9:30...we're currently drinking coffee on the couch & haven't gotten ready yet
FloFarnsworth,Calm down 'Fitbit' joggers. I can drink one 5-Hour Energy and reach my target heart rate without even getting off my couch
TIMMY_SKEAMIN,"I wish I could get paid to drink coffee, go to the gym and eat chicken wings."
DADTOY,only cereal n a lil soup for lunch!!!!!!!!!! i am eating less which is good.. i need to cut soda out of my diet tho :(
vickinerino,Currently guiding @jordanginsberg to the cheap gnocchi at the store accross the street via couch texting because I'm a fat fat water rat
TheBoydP,Calm down 'Fitbit' joggers. I can drink one 5-Hour Energy and reach my target heart rate without even getting off my couch
yoohallee,so my mom keeps buying me soda even though I'm trying to cut out soda but I didn't tell her that and ugh wtf mom
Sir_Strange,Calm down 'Fitbit' joggers. I can drink one 5-Hour Energy and reach my target heart rate without even getting off my couch
DuhFobDude,Almost poured water into protein shake container.. Holy crap crossfit workout is so hard im half dead
sweetg35,Calm down 'Fitbit' joggers. I can drink one 5-Hour Energy and reach my target heart rate without even getting off my couch
colleendennehy,By the time I'm done having drinks with my mom at my work I won't wanna go to the gym 😳
jmrtndl3,Fridays are my Mondays. Lounging in this fall like weather with coffee and netflix until the gym & work ☔️
Martakia,I'm so freaking sore. ughghghg Never skip leg day. Drank a protein shake and stretching now that workout is finished. Just in time for #LCS.
fitnessfreak56,That moment when you realize you forgot either your water bottle or your headphones to the gym
ayeebeckyyy,I'm glad when I'm sad or upset I workout and just a drink protein shake...weird
MichelMata,I gotta cut soda out of my life bruh
Cheeseboy22,Calm down 'Fitbit' joggers. I can drink one 5-Hour Energy and reach my target heart rate without even getting off my couch
philEfanaddict,Calm down 'Fitbit' joggers. I can drink one 5-Hour Energy and reach my target heart rate without even getting off my couch
KingPhill_,Very content with my water and alcohol diet
spaghettifreak,When should I take a protein shake (and with what)?
Dominique Dc Collins,"Super disappointed in my lack of discipline over the past month.   I want to post this to show that it doesn't matter how ""on point"" you workout program is... You CANNOT out train a bad diet.   The first picture was taken 2 months ago (still not my best) and the second picture was taken last night (8/25/14).   I'm excited to keep my nutrition up the way it should be for the next two weeks.   Hardcore focus. No gluten or dairy, limit my salts and sugars and avoid alcohol and caffeine. And still drink a gallon of water a day.   I will repost this picture in 2 weeks as well as my progress on the scale to show that diet and nutrition are everything!   Today I am at 144.0 lbs and 18.5% body fat.  Using the Life Time Detox nutrients, fiber supplement, fish oil, multivitamin and protein I will document my progress...  Wish me luck :)"
whiskeydrinking-operating,"Wake up at 0530, formation at 0600, go to mandatory exercise mandated by the Marine Corps for 2 hours, shower, miss breakfast because the chowhall closes breakfast at 0800, get dressed, try and find an MRE in my room, fail, drink a protein shake, go fill out whatever roster we have to fill out that day, miss lunch because we&#8217;re waiting for word to go to lunch, and if we leave before we&#8217;re told to we&#8217;re UA, but we never get told we can go to the chowhall until after it&#8217;s closed, miss dinner too, because nobody tells us when evening formation is, but if we miss it we&#8217;re UA and get NJPd, so we just don&#8217;t go to dinner either, get off work at 7:30 p.m. because our command doesn&#8217;t trust us so they keep us at work all fucking day just so that we have less time to get in trouble, tru and go to the gym at 8 p.m., gym&#8217;s packed as fuck, wait for weights longer than you lift them, don&#8217;t get good workout because so busy because needlessly kept at work for no reason, do pullups ok pullup bar I have bolted in bathroom doorway for that exact reason, text girlfriend until I fall asleep at 11:30 p.m., wake up 6 hours later at 5:30 a.m. and do it all over again."
Gabby_Brauner27,Went to the gym but forgot water and headphones so that's a good excuse not to work out. #leaving
taaaaaaayy,"Productive day now I want to sleep , then go to the gym , then have drinks at da cuzzi lol"
Ross_RunninShit,I really feel like God is punishing me for cheating on my diet 😩 I tried to get a soda out the vending machine & a damn water came out 😂
Ankit Tyagi,"What To Eat & Drink Before & After Workouts-  Okay, so You’ve been sticking to your commitment and going to the gym on a regular basis. But wait; are you eating and drinking the right things at the right time in order to maximize your efforts? If you really want to get the best results from all those intense training sessions, here’s what you should be eating and drinking before, during and after your workouts.  Before  Eat Carbs :Whether you’re engaging in aerobic or anaerobic activity, foods rich in complex carbohydrates, such as whole-grain pasta, rice, and bread, and fruits and vegetables, are the best sources of energy.   Have a small meal an hour beforehand  : About 30 to 60 minutes before your workout, eat a small, easily digested meal composed of complex carbs. You will train longer and harder and you won’t experience low blood sugar jitters and dizziness. Drink large quantities of water one or two hours before exercising to hyper hydrate your body and allow enough time for adequate hydration and urination.  Here’s what you have to do during your workout and after you’re done…  During  Get an extra boost During prolonged periods of intense exercise (1½ hours or more at an intensity of over 50% of heart rate reserve), sports drinks can also be useful.Carry Glucon D Mixture in bottle.Most sports drinks are composed of simple carbohydrates (sugars) and electrolytes. avoid such as fruit juices and sodas during exercise.  After  Right after — more Carbs :Immediately after your workout, have a small snack that is rich in carbs in order to restore your muscle-glycogen levels some easy sugar sources. I prefer having snickers. An hour later — Protein meal : About 60 minutes after training, have a hearty meal that includes lean protein, such as chicken or tuna, in order to repair your damaged muscle tissues.  eat the right amount of protein  Whether you’re a bodybuilder or a moderate exerciser protein is indispensable for muscle repair and growth. It is simply a matter of knowing the protein requirements for your particular level of activity minimum 100gms of protein per day.  Be good to your body…  Obviously, it can be really difficult to find the motivation to work out on a regular basis. But once you’ve gotten past that point and have integrated it into your daily life, you should make that extra effort to eat properly and get the most out of your training. By following these simple guidelines, you’ll find that your performance, energy level and results will vastly improve...  Warm welcome all , spread the word of Being Healthy !!!! Ankit"
sierrahadassah,RT @emilyscherer4: I need someone to workout with me& drink protein shakes with 💪❤️
a_pawlus,Nothing better than a couple of drinks by a fire with family to end my last night home #endofsummer #roadtostfx
claire_janelle,"like, why do people drink shitty protein shakes when they could have actual good smoothies that are good"
